"Tabla","Campo","Tipo/Longitud","Permite Nulos","Key","Tabla Relacionada (FK)","Campo Relacionado (FK)","Descripción/Comentario"
precios_proveedores,id,int(11),NO,PRI,"","",""
precios_proveedores,proveedor,varchar(50),YES,"","","",""
precios_proveedores,modelo_referencia,varchar(255),YES,MUL,"","",""
precios_proveedores,modelo_limpio,varchar(255),YES,MUL,"","",""
precios_proveedores,sku_proveedor,varchar(100),YES,"","","",""
precios_proveedores,precio_lista,"decimal(10,2)",YES,"","","",""
precios_proveedores,disponibilidad,int(11),YES,"","","",""
precios_proveedores,url_compra,text,YES,"","","",""
precios_proveedores,actualizado_el,timestamp,YES,"","","",""
productos_tecnicos,id,int(11),NO,PRI,"","",""
productos_tecnicos,modelo,varchar(255),NO,"","","",""
productos_tecnicos,marca,varchar(100),YES,"","","",""
productos_tecnicos,categoria,varchar(150),YES,"","","",""
productos_tecnicos,descripcion_basica,text,YES,"","","",""
productos_tecnicos,imagen,text,YES,"","","",""
productos_tecnicos,technical_specs,longtext,YES,"","","",""
productos_tecnicos,url_producto,text,YES,"","","",""
productos_tecnicos,specs_count,int(11),YES,"","","",""
productos_tecnicos,fecha_extraccion,timestamp,YES,"","","",""
products,id,int(11),NO,PRI,"","",""
products,brand,varchar(50),NO,"","","",""
products,model,varchar(50),NO,UNI,"","",""
products,category,varchar(50),YES,"","","",""
products,line,varchar(50),YES,"","","",""
products,created_at,timestamp,YES,"","","",""
store_listings,id,int(11),NO,PRI,"","",""
store_listings,product_id,int(11),YES,MUL,products,id,""
store_listings,store_name,varchar(50),YES,"","","",""
store_listings,raw_name,text,YES,"","","",""
store_listings,price,"decimal(10,2)",YES,"","","",""
store_listings,url,varchar(500),YES,"","","",""
store_listings,last_check,timestamp,YES,"","","",""
